player,playerid,strike
bob_the_builder,76561199728429321,1
floofy,76561199137643404,1
Spiffyyy,76561199244242674,1
rockskier2022,76561199503127124,6
pdub2583,76561199107339753,2
Magic Meth Raccoon,76561199127947946,1
ethanvlogs2,76561199009922189,3
evollove.mjm,76561199124483971,3
Swagnoob,76561199481183207,1
mgmt.burchell,76561199062446436,2
missyanndavis,76561199810532620,2
rlstag21,76561199217178644,4
Bryland15,76561199219093233,1
Ardow,76561198217304391,1
nateocw,76561197972752187,2
mdk541,76561198101669425,2
ashhh,76561199237057305,1
stroonstar,76561199181122047,5
Sanchez_shmeat,76561199813361737,1
Mrtacoman,76561199771732389,2
Gabausaurus,76561198306214988,1
kingsleyh872,76561199741174809,2
TarponMan,76561199163173965,3
lwoodk,76561199805511740,1
Spider_PigMC,76561199521866065,2
hulk_WD,76561199202408642,2
Petit.Phoque,76561199205479210,1
erik.vodkin911,76561199756749620,3
Tino,76561199696430116,1
glennbyrd2007,76561199158990315,1
mackvr964,76561199680393825,1
EpikDude,76561199438937978,1
wpersall,76561199368474364,3
Zephyr82821,76561199830027104,1
The_Helion,76561199187783061,1
Mrgamer12245,76561199609291968,1
lal,76561199821162640,1
sxmmits,76561199091158698,3
Fire Fox,76561199228701141,1
fingle,76561199229712504,1
Operator Tank,76561198989089204,2
GooeyLuiGaming,76561199473790201,2
Mikadostudios,76561198832340221,1
WickedLongNuts,76561199512971732,1
Inviz_76,76561199743949915,2
Kebab_Polski,76561198309039605,1
LRt-223 (CS Money),76561198282101089,1
Yoshi,76561198058844181,1
Wagner,76561198977364185,1
Slouchenhousen,76561199056111120,4
66875122,76561199547538345,1
En3rgy,76561199530399216,2
L-1011_AVg,76561199823375152,1
watermelonsaurus,76561199532130664,2
bimmer,76561199351945480,1
deviltrigger99,76561199528011539,2
kidgamer1234,76561199874022135,2
hans_thelastgerman,76561198107684736,2
Mowgli,76561198017851070,1
Unit87,76561199269115105,1
ZingoNoob,76561199882284025,5
ясь,76561199691614922,7
Simon duckmen,76561199041490238,1
OopsIDiedAgain,76561199395371593,2
RAZE_IUF,76561198874750934,1
denainastaff,76561198967634676,1
Celinxtr,76561199010045990,3
XPiredMilk,76561198957604889,1
lawnchicken1,76561198835445038,7
codyp445,76561199342629455,1
Matanzasrojo,76561199495310721,1
Dinoace,76561199161768568,2
BillisticBacon,76561198032120742,2
jakobcc14,76561199454128823,2
wingsangelos3,76561199163297672,1
kimberscheerer,76561199513104027,3
Droid,76561199206071032,3
maxwell_keybord cat,76561199245975366,1
Shibby,76561199813685737,3
табурет (живой),76561199547052414,2
Трусики Вай,76561199167937594,2
Anaru,76561198011467776,8
Joxue_132,76561199192305668,5
wyson199999999997,76561199784815346,1
.,76561199389569940,1
Im.W0rk1ng.Fine,76561199129005808,1
Тaкumi,76561199816235357,1
lucas,76561199405357634,2
Pinky,76561199835580346,1
188506460Zn,76561198436828531,1
